,Title,Published_date,Views,Likes,Comments,Month
0,The Harsh Reality of the Data Job Market,2023-08-24,70367,1856,215,Aug
1,7 Industries AI will Aggressively Disrupt,2023-08-14,4563,200,35,Aug
2,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,3430,111,47,Aug
3,7 Enticing Jobs AI Will Create,2023-07-24,4085,185,36,Jul
4,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,3744,135,31,Jul
5,Exciting Announcement!,2023-06-23,6400,287,50,Jun
6,AI: A Customer Service Revolution?,2023-05-26,3562,115,35,May
7,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,20627,750,54,May
8,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,28640,1228,74,May
9,This AI question will determine our future,2023-04-06,4149,260,37,Apr
10,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,70257,815,77,Apr
11,Your current portfolio is actually hurting you #shorts,2023-03-30,5646,336,5,Mar
12,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,5840,322,3,Mar
13,you're job searching wrong. #shorts,2023-03-23,3747,229,3,Mar
14,The Economics of Data Roles #shorts,2023-03-21,6779,433,5,Mar
15,Why your phone knows everything you say #shorts,2023-03-18,2616,119,7,Mar
16,Read these for a successful career. #shorts,2023-03-16,2779,222,2,Mar
17,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2331,44,5,Mar
18,How I Realized I Was a Bad Manager #shorts,2023-03-07,2505,118,1,Mar
19,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,19459,737,53,Mar
20,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,7153,248,12,Mar
21,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2417,156,2,Feb
22,Learning On the companies dime #shorts,2023-02-24,2970,170,1,Feb
23,The Best Way to Transition to Data Science? #shorts,2023-02-21,3690,239,6,Feb
24,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,6203,360,6,Feb
25,Don't Go into Data for the Money #shorts,2023-02-15,3630,215,12,Feb
26,First Data Science Project? Watch This.,2023-02-13,5684,323,22,Feb
27,How to Approach Applying for a Data Role #shorts,2023-02-08,3610,244,7,Feb
28,The Hard Reality of Data Science Work #shorts,2023-02-06,10830,679,10,Feb
29,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,4334,181,6,Feb
30,These 3 Things Make Data Science Special #shorts,2023-02-01,4045,317,6,Feb
31,Will Data Science Be Automated? #shorts,2023-01-27,7882,364,8,Jan
32,Is Data Science A Good Fit For You? #shorts,2023-01-25,4864,282,11,Jan
33,5 Books I Wish I Read Earlier In My Career,2023-01-23,8974,508,50,Jan
34,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,4304,447,10,Jan
35,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6191,470,10,Jan
36,How long does it take to become a Data Scientist? #shorts,2023-01-12,5569,445,6,Jan
37,Where & how to start your Data Science Journey #shorts,2023-01-09,6521,411,2,Jan
38,How I Would NOT Learn Data Science in 2023.,2023-01-03,119400,3974,248,Jan
39,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4786,199,28,Dec
40,The Essential Programming Concepts For Learning Data Science,2022-11-14,20000,834,46,Nov
41,The Data Content House: What You Missed,2022-10-07,10384,347,50,Oct
42,Is Data Science A Good Career?,2022-09-29,59164,1871,135,Sep
43,IRON ANALYST (Teaser) #shorts,2022-09-27,5609,363,24,Sep
44,When a New Data Scientist Joins The Team,2022-08-29,16300,745,133,Aug
45,State of Data Science - Web Data,2022-08-05,10410,359,34,Aug
46,Data Science Town Hall - State of Data Science,2022-08-04,9947,376,38,Aug
47,The Programming Roadmap For Data Science,2022-07-29,26883,1280,64,Jul
48,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,72254,2780,91,Jun
49,Can AI Fix my Baseball Swing?,2022-06-10,7523,340,68,Jun
50,Every Data Scientist... (funny!),2022-05-24,16431,849,146,May
51,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15968,430,65,May
52,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,56563,1475,87,Apr
53,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,20879,875,113,Mar
54,Data Scientists VS NFT Scam,2022-03-03,4610,189,51,Mar
55,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,11099,510,144,Feb
56,What Professional Data Scientists ACTUALLY Do,2022-02-14,94600,3289,187,Feb
57,Can You Analyze My Data Better Than I Can?,2022-01-31,7268,323,62,Jan
58,Giving Back to My Most Engaged Subscribers!,2022-01-28,2324,119,89,Jan
59,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,28559,866,130,Jan
60,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8811,423,83,Jan
61,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8500,252,33,Jan
62,The Only Data Science Explanation You Need,2022-01-10,58974,2210,172,Jan
63,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14418,646,144,Jan
